document_id,canonical_title,short_title,document_type,jurisdiction,province,authority,subject_categories,official_source_url,local_file_path,language,enactment_date,effective_date,amendment_date,repeal_date,legal_status,version_label,retrieved_at,last_verified_at,content_sha256,mime_type,source_format,is_official_pdf,local_pdf_valid,page_count,ocr_required,verification_status,verification_notes
pakistan_constitution_1973_main,"Constitution of the Islamic Republic of Pakistan, 1973 (Consolidated)","Constitution of Pakistan, 1973",constitution,federal,,National Assembly of Pakistan,constitutional;fundamental_rights;judiciary;executive,https://pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-cJA%3D%3D,data/raw/pakistan_constitution_1973_main.pdf,en,1973-04-12,1973-04-12,,,in_force,26th-amendment-consolidated-2024,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,4adcf8213d7c7dcec332b645675e478afc1c455c450a7955a2643eb36ef30753,application/pdf,pdf,True,True,2,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
constitution_amendment_1_act,Constitution (1st Amendment) Act,1st Constitutional Amendment,constitutional_amendment,federal,,Parliament of Pakistan,constitutional;amendment;boundary;recognition,https://pakistancode.gov.pk/english/amendment_1,data/raw/constitution_amendment_1_act.pdf,en,1974-05-08,1974-05-08,,,in_force,amendment-1-enacted,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,c37f363a475a239b6049fab877835365d97ce348acf41968233850ce68385177,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
constitution_amendment_2_act,Constitution (2nd Amendment) Act,2nd Constitutional Amendment,constitutional_amendment,federal,,Parliament of Pakistan,constitutional;amendment;definition;religion,https://pakistancode.gov.pk/english/amendment_2,data/raw/constitution_amendment_2_act.pdf,en,1974-09-21,1974-09-21,,,in_force,amendment-2-enacted,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,a9eaca275459a0109d3558693b2a50280505416d08d283fc2d459296a2bcecbc,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
constitution_amendment_3_act,Constitution (3rd Amendment) Act,3rd Constitutional Amendment,constitutional_amendment,federal,,Parliament of Pakistan,constitutional;amendment;detention;emergency,https://pakistancode.gov.pk/english/amendment_3,data/raw/constitution_amendment_3_act.pdf,en,1975-02-18,1975-02-18,,,in_force,amendment-3-enacted,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,ceac7292c67c769414efdd1b23ce5dc84d1abf8d6fac0f996dc119c6de623638,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
constitution_amendment_4_act,Constitution (4th Amendment) Act,4th Constitutional Amendment,constitutional_amendment,federal,,Parliament of Pakistan,constitutional;amendment;minorities;parliament,https://pakistancode.gov.pk/english/amendment_4,data/raw/constitution_amendment_4_act.pdf,en,1975-11-25,1975-11-25,,,in_force,amendment-4-enacted,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,9b2eee9c909fef1700694c8a71648ccb1cf512eba8327088aabe3c4e8efdf950,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
constitution_amendment_5_act,Constitution (5th Amendment) Act,5th Constitutional Amendment,constitutional_amendment,federal,,Parliament of Pakistan,constitutional;amendment;judicature;tenure,https://pakistancode.gov.pk/english/amendment_5,data/raw/constitution_amendment_5_act.pdf,en,1976-09-15,1976-09-15,,,in_force,amendment-5-enacted,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,cf08d440b7001935af3915dfd2a67f38bac22cb8fa561982e08086418c4f80a5,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
constitution_amendment_6_act,Constitution (6th Amendment) Act,6th Constitutional Amendment,constitutional_amendment,federal,,Parliament of Pakistan,constitutional;amendment;judiciary;retirement,https://pakistancode.gov.pk/english/amendment_6,data/raw/constitution_amendment_6_act.pdf,en,1976-12-22,1976-12-22,,,in_force,amendment-6-enacted,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,217ff20fe7cd6101367492f7371e9e637951d41edfa4363469ced10c4674c924,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
constitution_amendment_7_act,Constitution (7th Amendment) Act,7th Constitutional Amendment,constitutional_amendment,federal,,Parliament of Pakistan,constitutional;amendment;referendum;executive,https://pakistancode.gov.pk/english/amendment_7,data/raw/constitution_amendment_7_act.pdf,en,1977-05-16,1977-05-16,,,in_force,amendment-7-enacted,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,e26da0f2036c46b514a8bb5f87b0f93f4bfda90740885c5d8048ca6894525511,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
constitution_amendment_8_act,Constitution (8th Amendment) Act,8th Constitutional Amendment,constitutional_amendment,federal,,Parliament of Pakistan,constitutional;amendment;executive;58-2-b,https://pakistancode.gov.pk/english/amendment_8,data/raw/constitution_amendment_8_act.pdf,en,1985-11-11,1985-11-11,,,in_force,amendment-8-enacted,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,438b7f1cdd41b0ef20a71d37c7b5f7bfb72bbc8acf1c671c5e6f3eca398b5319,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
constitution_amendment_9_act,Constitution (9th Amendment) Act,9th Constitutional Amendment,constitutional_amendment,federal,,Parliament of Pakistan,constitutional;amendment;islamic;shariat,https://pakistancode.gov.pk/english/amendment_9,data/raw/constitution_amendment_9_act.pdf,en,1986-08-07,1986-08-07,,,in_force,amendment-9-enacted,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,1ab80aca88bd673beeee35e81cb02a5e7bef9da7ff7f422ab53e84b27a6f0a62,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
constitution_amendment_10_act,Constitution (10th Amendment) Act,10th Constitutional Amendment,constitutional_amendment,federal,,Parliament of Pakistan,constitutional;amendment;parliament;procedure,https://pakistancode.gov.pk/english/amendment_10,data/raw/constitution_amendment_10_act.pdf,en,1987-03-29,1987-03-29,,,in_force,amendment-10-enacted,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,75bafa06afff1a89766cdc46fd48426c6d9eab289b2ee37ccda95146c5d5495d,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
constitution_amendment_11_act,Constitution (11th Amendment) Act,11th Constitutional Amendment,constitutional_amendment,federal,,Parliament of Pakistan,constitutional;amendment;women;reserved_seats,https://pakistancode.gov.pk/english/amendment_11,data/raw/constitution_amendment_11_act.pdf,en,1989-05-10,1989-05-10,,,in_force,amendment-11-enacted,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,e3840fcc235c86773d798f61a377ace859199b538b175716a0ba232f4b74bde0,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
constitution_amendment_12_act,Constitution (12th Amendment) Act,12th Constitutional Amendment,constitutional_amendment,federal,,Parliament of Pakistan,constitutional;amendment;speedy_trial;judiciary,https://pakistancode.gov.pk/english/amendment_12,data/raw/constitution_amendment_12_act.pdf,en,1991-07-28,1991-07-28,,,in_force,amendment-12-enacted,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,02f9217b3a188edef0a7c068f97582b20d3d93c154122f2901939a896013161a,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
constitution_amendment_13_act,Constitution (13th Amendment) Act,13th Constitutional Amendment,constitutional_amendment,federal,,Parliament of Pakistan,constitutional;amendment;parliamentary_supremacy;dissolution,https://pakistancode.gov.pk/english/amendment_13,data/raw/constitution_amendment_13_act.pdf,en,1997-04-04,1997-04-04,,,in_force,amendment-13-enacted,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,12b05c08189cfa42f0f2c9253bcb03994dff002f6d97ed12c27c406ab30aed05,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
